Game,Winner,Moves,FinalScore
1,B,113,"FinalCount => B:14, W:11"
2,B,113,"FinalCount => B:14, W:11"
3,B,113,"FinalCount => B:14, W:11"
4,B,113,"FinalCount => B:14, W:11"
5,B,113,"FinalCount => B:14, W:11"
6,B,113,"FinalCount => B:14, W:11"
7,B,113,"FinalCount => B:14, W:11"
8,B,113,"FinalCount => B:14, W:11"
9,B,113,"FinalCount => B:14, W:11"
10,B,113,"FinalCount => B:14, W:11"
11,B,113,"FinalCount => B:14, W:11"
12,B,113,"FinalCount => B:14, W:11"
13,B,113,"FinalCount => B:14, W:11"
14,B,113,"FinalCount => B:14, W:11"
15,B,113,"FinalCount => B:14, W:11"
16,B,113,"FinalCount => B:14, W:11"
17,B,113,"FinalCount => B:14, W:11"
18,B,113,"FinalCount => B:14, W:11"
19,B,113,"FinalCount => B:14, W:11"
20,B,113,"FinalCount => B:14, W:11"
21,B,113,"FinalCount => B:14, W:11"
22,B,113,"FinalCount => B:14, W:11"
23,B,113,"FinalCount => B:14, W:11"
24,B,113,"FinalCount => B:14, W:11"
25,B,113,"FinalCount => B:14, W:11"
26,B,113,"FinalCount => B:14, W:11"
27,B,113,"FinalCount => B:14, W:11"
28,B,113,"FinalCount => B:14, W:11"
29,B,113,"FinalCount => B:14, W:11"
30,B,113,"FinalCount => B:14, W:11"
31,B,113,"FinalCount => B:14, W:11"
32,B,113,"FinalCount => B:14, W:11"
33,B,113,"FinalCount => B:14, W:11"
34,B,113,"FinalCount => B:14, W:11"
35,B,113,"FinalCount => B:14, W:11"
36,B,113,"FinalCount => B:14, W:11"
37,B,113,"FinalCount => B:14, W:11"
38,B,113,"FinalCount => B:14, W:11"
39,B,113,"FinalCount => B:14, W:11"
40,B,113,"FinalCount => B:14, W:11"
41,B,113,"FinalCount => B:14, W:11"
42,B,113,"FinalCount => B:14, W:11"
43,B,113,"FinalCount => B:14, W:11"
44,B,113,"FinalCount => B:14, W:11"
45,B,113,"FinalCount => B:14, W:11"
46,B,113,"FinalCount => B:14, W:11"
47,B,113,"FinalCount => B:14, W:11"
48,B,113,"FinalCount => B:14, W:11"
49,B,113,"FinalCount => B:14, W:11"
50,B,113,"FinalCount => B:14, W:11"
51,B,113,"FinalCount => B:14, W:11"
52,B,113,"FinalCount => B:14, W:11"
53,B,113,"FinalCount => B:14, W:11"
54,B,113,"FinalCount => B:14, W:11"
55,B,113,"FinalCount => B:14, W:11"
