Game,Winner,Moves,FinalScore
1115,B,52,"FinalCount => B:13, W:12"
1116,W,66,"FinalCount => B:12, W:13"
1117,B,68,"FinalCount => B:13, W:12"
1118,W,66,"FinalCount => B:12, W:13"
1119,B,61,"FinalCount => B:15, W:10"
1120,W,66,"FinalCount => B:12, W:13"
1121,W,66,"FinalCount => B:12, W:13"
1122,B,59,"FinalCount => B:13, W:12"
1123,W,62,"FinalCount => B:10, W:15"
1124,W,66,"FinalCount => B:12, W:13"
1125,B,59,"FinalCount => B:15, W:10"
1126,B,55,"FinalCount => B:14, W:11"
1127,B,55,"FinalCount => B:14, W:11"
1128,W,63,"FinalCount => B:12, W:13"
1129,B,59,"FinalCount => B:13, W:12"
1130,B,59,"FinalCount => B:13, W:12"
1131,B,61,"FinalCount => B:15, W:10"
1132,B,59,"FinalCount => B:13, W:12"
1133,B,61,"FinalCount => B:14, W:11"
1134,B,59,"FinalCount => B:13, W:12"
1135,B,61,"FinalCount => B:14, W:11"
1136,B,52,"FinalCount => B:13, W:12"
1137,B,59,"FinalCount => B:15, W:10"
1138,W,63,"FinalCount => B:12, W:13"
1139,B,59,"FinalCount => B:13, W:12"
1140,B,68,"FinalCount => B:13, W:12"
1141,B,59,"FinalCount => B:15, W:10"
1142,W,63,"FinalCount => B:12, W:13"
1143,W,62,"FinalCount => B:11, W:14"
1144,W,62,"FinalCount => B:10, W:15"
1145,B,61,"FinalCount => B:15, W:10"
1146,B,59,"FinalCount => B:13, W:12"
1147,W,66,"FinalCount => B:12, W:13"
1148,B,59,"FinalCount => B:13, W:12"
1149,W,66,"FinalCount => B:12, W:13"
1150,B,61,"FinalCount => B:14, W:11"
1151,W,63,"FinalCount => B:12, W:13"
1152,W,63,"FinalCount => B:12, W:13"
1153,B,59,"FinalCount => B:15, W:10"
1154,W,66,"FinalCount => B:12, W:13"
1155,W,66,"FinalCount => B:12, W:13"
1156,W,66,"FinalCount => B:12, W:13"
1157,B,59,"FinalCount => B:13, W:12"
1158,B,52,"FinalCount => B:13, W:12"
1159,W,66,"FinalCount => B:12, W:13"
1160,W,63,"FinalCount => B:12, W:13"
1161,B,59,"FinalCount => B:13, W:12"
1162,B,68,"FinalCount => B:13, W:12"
1163,B,59,"FinalCount => B:13, W:12"
1164,B,59,"FinalCount => B:13, W:12"
1165,B,61,"FinalCount => B:14, W:11"
1166,W,66,"FinalCount => B:12, W:13"
1167,B,68,"FinalCount => B:13, W:12"
1168,B,59,"FinalCount => B:13, W:12"
1169,W,62,"FinalCount => B:11, W:14"
1170,W,63,"FinalCount => B:12, W:13"
1171,W,63,"FinalCount => B:12, W:13"
1172,W,66,"FinalCount => B:12, W:13"
1173,B,55,"FinalCount => B:14, W:11"
1174,W,66,"FinalCount => B:12, W:13"
1175,W,66,"FinalCount => B:12, W:13"
1176,B,59,"FinalCount => B:13, W:12"
1177,B,55,"FinalCount => B:14, W:11"
1178,B,61,"FinalCount => B:14, W:11"
1179,B,59,"FinalCount => B:13, W:12"
1180,B,61,"FinalCount => B:14, W:11"
1181,W,63,"FinalCount => B:12, W:13"
1182,B,61,"FinalCount => B:14, W:11"
1183,B,55,"FinalCount => B:14, W:11"
1184,B,68,"FinalCount => B:13, W:12"
1185,B,59,"FinalCount => B:13, W:12"
1186,B,68,"FinalCount => B:13, W:12"
1187,W,62,"FinalCount => B:10, W:15"
1188,W,66,"FinalCount => B:12, W:13"
1189,B,59,"FinalCount => B:13, W:12"
1190,B,68,"FinalCount => B:13, W:12"
1191,B,59,"FinalCount => B:13, W:12"
1192,B,61,"FinalCount => B:14, W:11"
1193,B,59,"FinalCount => B:13, W:12"
1194,B,59,"FinalCount => B:13, W:12"
1195,W,66,"FinalCount => B:12, W:13"
1196,W,62,"FinalCount => B:10, W:15"
1197,B,56,"FinalCount => B:13, W:12"
1198,W,66,"FinalCount => B:12, W:13"
1199,W,63,"FinalCount => B:12, W:13"
1200,B,68,"FinalCount => B:13, W:12"
1201,W,62,"FinalCount => B:10, W:15"
1202,B,59,"FinalCount => B:13, W:12"
1203,W,63,"FinalCount => B:12, W:13"
1204,B,52,"FinalCount => B:13, W:12"
1205,B,59,"FinalCount => B:13, W:12"
1206,B,68,"FinalCount => B:13, W:12"
1207,W,66,"FinalCount => B:12, W:13"
1208,B,61,"FinalCount => B:14, W:11"
1209,B,59,"FinalCount => B:13, W:12"
1210,W,63,"FinalCount => B:12, W:13"
1211,W,63,"FinalCount => B:12, W:13"
1212,B,56,"FinalCount => B:13, W:12"
1213,W,66,"FinalCount => B:12, W:13"
1214,B,52,"FinalCount => B:13, W:12"
1215,B,59,"FinalCount => B:13, W:12"
1216,B,55,"FinalCount => B:14, W:11"
1217,B,59,"FinalCount => B:13, W:12"
1218,B,61,"FinalCount => B:14, W:11"
1219,W,63,"FinalCount => B:12, W:13"
1220,B,59,"FinalCount => B:13, W:12"
1221,B,59,"FinalCount => B:13, W:12"
1222,B,59,"FinalCount => B:13, W:12"
1223,B,52,"FinalCount => B:13, W:12"
1224,W,66,"FinalCount => B:12, W:13"
1225,W,62,"FinalCount => B:10, W:15"
1226,W,62,"FinalCount => B:10, W:15"
1227,W,66,"FinalCount => B:12, W:13"
1228,W,66,"FinalCount => B:12, W:13"
1229,B,55,"FinalCount => B:14, W:11"
1230,B,59,"FinalCount => B:13, W:12"
1231,B,56,"FinalCount => B:13, W:12"
1232,B,61,"FinalCount => B:15, W:10"
1233,B,61,"FinalCount => B:14, W:11"
1234,B,52,"FinalCount => B:13, W:12"
1235,B,59,"FinalCount => B:13, W:12"
1236,B,56,"FinalCount => B:13, W:12"
1237,B,61,"FinalCount => B:14, W:11"
1238,W,63,"FinalCount => B:12, W:13"
1239,B,59,"FinalCount => B:13, W:12"
1240,B,68,"FinalCount => B:13, W:12"
1241,B,59,"FinalCount => B:13, W:12"
1242,B,52,"FinalCount => B:13, W:12"
1243,B,61,"FinalCount => B:15, W:10"
1244,B,59,"FinalCount => B:13, W:12"
1245,B,59,"FinalCount => B:15, W:10"
1246,B,55,"FinalCount => B:14, W:11"
1247,B,68,"FinalCount => B:13, W:12"
1248,B,59,"FinalCount => B:13, W:12"
1249,B,59,"FinalCount => B:15, W:10"
1250,B,59,"FinalCount => B:13, W:12"
1251,B,59,"FinalCount => B:13, W:12"
1252,B,68,"FinalCount => B:13, W:12"
1253,B,55,"FinalCount => B:14, W:11"
1254,W,62,"FinalCount => B:11, W:14"
1255,B,59,"FinalCount => B:13, W:12"
1256,B,68,"FinalCount => B:13, W:12"
1257,W,62,"FinalCount => B:10, W:15"
1258,W,66,"FinalCount => B:12, W:13"
1259,B,59,"FinalCount => B:15, W:10"
1260,B,61,"FinalCount => B:14, W:11"
1261,W,62,"FinalCount => B:11, W:14"
1262,W,62,"FinalCount => B:10, W:15"
1263,W,66,"FinalCount => B:12, W:13"
1264,B,59,"FinalCount => B:13, W:12"
1265,B,59,"FinalCount => B:15, W:10"
1266,W,66,"FinalCount => B:12, W:13"
1267,B,59,"FinalCount => B:13, W:12"
1268,B,61,"FinalCount => B:15, W:10"
1269,B,59,"FinalCount => B:13, W:12"
1270,B,56,"FinalCount => B:13, W:12"
1271,B,59,"FinalCount => B:13, W:12"
1272,B,59,"FinalCount => B:13, W:12"
1273,W,66,"FinalCount => B:12, W:13"
1274,B,68,"FinalCount => B:13, W:12"
1275,B,59,"FinalCount => B:13, W:12"
1276,B,59,"FinalCount => B:13, W:12"
1277,B,59,"FinalCount => B:13, W:12"
1278,B,61,"FinalCount => B:14, W:11"
1279,B,61,"FinalCount => B:14, W:11"
1280,W,66,"FinalCount => B:12, W:13"
1281,W,66,"FinalCount => B:12, W:13"
1282,B,68,"FinalCount => B:13, W:12"
1283,W,63,"FinalCount => B:12, W:13"
1284,W,66,"FinalCount => B:12, W:13"
1285,B,59,"FinalCount => B:13, W:12"
1286,B,59,"FinalCount => B:13, W:12"
1287,B,59,"FinalCount => B:13, W:12"
1288,B,56,"FinalCount => B:13, W:12"
1289,B,56,"FinalCount => B:13, W:12"
1290,B,59,"FinalCount => B:13, W:12"
1291,W,62,"FinalCount => B:11, W:14"
1292,W,66,"FinalCount => B:12, W:13"
1293,B,68,"FinalCount => B:13, W:12"
1294,B,68,"FinalCount => B:13, W:12"
1295,W,66,"FinalCount => B:12, W:13"
1296,B,52,"FinalCount => B:13, W:12"
1297,B,59,"FinalCount => B:13, W:12"
1298,W,66,"FinalCount => B:12, W:13"
1299,B,59,"FinalCount => B:15, W:10"
1300,B,55,"FinalCount => B:14, W:11"
1301,W,63,"FinalCount => B:12, W:13"
1302,W,63,"FinalCount => B:12, W:13"
1303,B,52,"FinalCount => B:13, W:12"
1304,B,68,"FinalCount => B:13, W:12"
1305,B,59,"FinalCount => B:13, W:12"
1306,B,52,"FinalCount => B:13, W:12"
1307,B,55,"FinalCount => B:14, W:11"
1308,B,59,"FinalCount => B:13, W:12"
1309,W,62,"FinalCount => B:10, W:15"
1310,W,66,"FinalCount => B:12, W:13"
1311,B,68,"FinalCount => B:13, W:12"
1312,W,66,"FinalCount => B:12, W:13"
1313,B,59,"FinalCount => B:15, W:10"
1314,W,66,"FinalCount => B:12, W:13"
1315,B,59,"FinalCount => B:13, W:12"
1316,B,59,"FinalCount => B:13, W:12"
1317,W,63,"FinalCount => B:12, W:13"
1318,W,63,"FinalCount => B:12, W:13"
1319,B,59,"FinalCount => B:13, W:12"
1320,B,61,"FinalCount => B:15, W:10"
1321,B,61,"FinalCount => B:15, W:10"
1322,B,61,"FinalCount => B:14, W:11"
1323,B,59,"FinalCount => B:13, W:12"
1324,B,68,"FinalCount => B:13, W:12"
1325,B,68,"FinalCount => B:13, W:12"
1326,B,61,"FinalCount => B:14, W:11"
1327,W,66,"FinalCount => B:12, W:13"
1328,B,59,"FinalCount => B:13, W:12"
1329,W,66,"FinalCount => B:12, W:13"
