Game,Winner,Moves,FinalScore
434,B,66,"FinalCount => B:15, W:10"
435,B,65,"FinalCount => B:15, W:10"
436,B,49,"FinalCount => B:14, W:11"
437,B,55,"FinalCount => B:13, W:12"
438,B,56,"FinalCount => B:14, W:11"
439,B,68,"FinalCount => B:13, W:12"
440,W,50,"FinalCount => B:12, W:13"
441,B,49,"FinalCount => B:14, W:11"
442,B,55,"FinalCount => B:13, W:12"
443,W,60,"FinalCount => B:12, W:13"
444,B,56,"FinalCount => B:14, W:11"
445,W,60,"FinalCount => B:12, W:13"
446,B,71,"FinalCount => B:15, W:10"
447,W,50,"FinalCount => B:12, W:13"
448,B,65,"FinalCount => B:15, W:10"
449,B,52,"FinalCount => B:13, W:12"
450,B,65,"FinalCount => B:15, W:10"
451,W,60,"FinalCount => B:12, W:13"
452,B,51,"FinalCount => B:13, W:12"
453,W,60,"FinalCount => B:12, W:13"
454,B,65,"FinalCount => B:15, W:10"
455,W,50,"FinalCount => B:12, W:13"
456,B,64,"FinalCount => B:13, W:12"
457,B,71,"FinalCount => B:15, W:10"
458,B,49,"FinalCount => B:14, W:11"
459,B,51,"FinalCount => B:13, W:12"
460,B,71,"FinalCount => B:15, W:10"
461,W,60,"FinalCount => B:12, W:13"
462,W,50,"FinalCount => B:12, W:13"
463,B,65,"FinalCount => B:16, W:9"
464,B,65,"FinalCount => B:15, W:10"
465,B,55,"FinalCount => B:13, W:12"
466,W,60,"FinalCount => B:12, W:13"
467,B,65,"FinalCount => B:15, W:10"
468,W,60,"FinalCount => B:12, W:13"
469,B,56,"FinalCount => B:14, W:11"
470,B,49,"FinalCount => B:14, W:11"
471,W,50,"FinalCount => B:12, W:13"
472,W,60,"FinalCount => B:12, W:13"
473,B,65,"FinalCount => B:15, W:10"
474,W,65,"FinalCount => B:9, W:16"
475,B,71,"FinalCount => B:15, W:10"
476,B,66,"FinalCount => B:15, W:10"
477,B,65,"FinalCount => B:15, W:10"
478,B,49,"FinalCount => B:14, W:11"
479,B,66,"FinalCount => B:15, W:10"
480,B,49,"FinalCount => B:14, W:11"
481,B,66,"FinalCount => B:15, W:10"
482,B,65,"FinalCount => B:15, W:10"
483,B,68,"FinalCount => B:13, W:12"
484,W,60,"FinalCount => B:12, W:13"
