Game,Winner,Moves,FinalScore
227,B,61,"FinalCount => B:14, W:11"
228,W,66,"FinalCount => B:12, W:13"
229,W,66,"FinalCount => B:12, W:13"
230,B,63,"FinalCount => B:14, W:11"
231,W,66,"FinalCount => B:12, W:13"
232,W,62,"FinalCount => B:11, W:14"
233,W,62,"FinalCount => B:10, W:15"
234,B,63,"FinalCount => B:14, W:11"
235,B,63,"FinalCount => B:14, W:11"
236,W,62,"FinalCount => B:11, W:14"
237,W,66,"FinalCount => B:12, W:13"
238,W,66,"FinalCount => B:12, W:13"
239,W,87,"FinalCount => B:12, W:13"
240,W,66,"FinalCount => B:12, W:13"
241,W,62,"FinalCount => B:11, W:14"
242,W,87,"FinalCount => B:12, W:13"
243,B,61,"FinalCount => B:14, W:11"
244,W,62,"FinalCount => B:11, W:14"
245,W,66,"FinalCount => B:12, W:13"
246,B,63,"FinalCount => B:14, W:11"
247,W,87,"FinalCount => B:12, W:13"
248,B,61,"FinalCount => B:15, W:10"
249,W,62,"FinalCount => B:11, W:14"
250,B,63,"FinalCount => B:13, W:12"
251,B,63,"FinalCount => B:14, W:11"
252,B,68,"FinalCount => B:13, W:12"
253,W,62,"FinalCount => B:12, W:13"
254,W,66,"FinalCount => B:12, W:13"
255,W,62,"FinalCount => B:11, W:14"
256,B,63,"FinalCount => B:14, W:11"
257,W,62,"FinalCount => B:10, W:15"
258,W,62,"FinalCount => B:11, W:14"
259,B,63,"FinalCount => B:14, W:11"
260,B,62,"FinalCount => B:13, W:12"
261,B,68,"FinalCount => B:13, W:12"
262,W,62,"FinalCount => B:10, W:15"
263,W,66,"FinalCount => B:12, W:13"
264,B,61,"FinalCount => B:15, W:10"
265,W,62,"FinalCount => B:11, W:14"
266,W,62,"FinalCount => B:11, W:14"
267,W,66,"FinalCount => B:12, W:13"
268,W,62,"FinalCount => B:10, W:15"
269,B,61,"FinalCount => B:14, W:11"
270,W,62,"FinalCount => B:11, W:14"
271,B,61,"FinalCount => B:14, W:11"
272,W,66,"FinalCount => B:12, W:13"
273,W,62,"FinalCount => B:12, W:13"
274,W,62,"FinalCount => B:11, W:14"
275,B,71,"FinalCount => B:13, W:12"
276,B,61,"FinalCount => B:15, W:10"
277,B,71,"FinalCount => B:13, W:12"
278,W,62,"FinalCount => B:11, W:14"
279,B,61,"FinalCount => B:14, W:11"
280,W,62,"FinalCount => B:11, W:14"
281,W,62,"FinalCount => B:12, W:13"
282,W,62,"FinalCount => B:11, W:14"
283,B,61,"FinalCount => B:14, W:11"
284,B,61,"FinalCount => B:14, W:11"
285,B,68,"FinalCount => B:13, W:12"
286,W,62,"FinalCount => B:11, W:14"
287,B,68,"FinalCount => B:13, W:12"
288,W,62,"FinalCount => B:11, W:14"
289,W,62,"FinalCount => B:11, W:14"
290,B,68,"FinalCount => B:13, W:12"
291,W,62,"FinalCount => B:11, W:14"
292,W,62,"FinalCount => B:11, W:14"
293,B,63,"FinalCount => B:14, W:11"
