Game,Winner,Moves,FinalScore
383,W,120,"FinalCount => B:10, W:14"
384,B,122,"FinalCount => B:13, W:12"
385,W,110,"FinalCount => B:11, W:13"
386,B,102,"FinalCount => B:12, W:11"
387,W,114,"FinalCount => B:12, W:13"
388,W,104,"FinalCount => B:10, W:12"
389,W,110,"FinalCount => B:11, W:13"
390,B,111,"FinalCount => B:14, W:11"
391,B,94,"FinalCount => B:14, W:10"
392,B,102,"FinalCount => B:12, W:11"
393,W,110,"FinalCount => B:11, W:13"
394,W,118,"FinalCount => B:11, W:14"
395,W,120,"FinalCount => B:10, W:14"
396,B,114,"FinalCount => B:13, W:10"
397,B,111,"FinalCount => B:14, W:11"
398,B,94,"FinalCount => B:14, W:10"
399,W,110,"FinalCount => B:9, W:14"
400,B,94,"FinalCount => B:14, W:10"
401,B,102,"FinalCount => B:12, W:11"
402,B,114,"FinalCount => B:13, W:10"
403,W,120,"FinalCount => B:10, W:14"
404,W,122,"FinalCount => B:12, W:13"
405,B,94,"FinalCount => B:14, W:10"
406,W,110,"FinalCount => B:11, W:13"
407,B,111,"FinalCount => B:14, W:11"
408,B,102,"FinalCount => B:12, W:11"
409,B,102,"FinalCount => B:12, W:11"
410,B,94,"FinalCount => B:14, W:10"
411,B,98,"FinalCount => B:12, W:11"
412,B,94,"FinalCount => B:14, W:10"
413,B,111,"FinalCount => B:14, W:11"
414,B,102,"FinalCount => B:12, W:11"
415,B,94,"FinalCount => B:14, W:10"
416,B,94,"FinalCount => B:14, W:10"
417,W,112,"FinalCount => B:11, W:12"
418,W,110,"FinalCount => B:11, W:13"
419,W,106,"FinalCount => B:12, W:12"
420,W,106,"FinalCount => B:12, W:12"
421,B,94,"FinalCount => B:14, W:10"
422,B,102,"FinalCount => B:12, W:11"
423,B,111,"FinalCount => B:14, W:11"
424,W,110,"FinalCount => B:11, W:13"
425,B,111,"FinalCount => B:14, W:11"
426,B,94,"FinalCount => B:14, W:10"
427,W,110,"FinalCount => B:12, W:13"
428,B,102,"FinalCount => B:12, W:11"
429,B,94,"FinalCount => B:14, W:10"
430,W,106,"FinalCount => B:11, W:12"
431,B,94,"FinalCount => B:14, W:10"
432,B,72,"FinalCount => B:12, W:7"
433,W,120,"FinalCount => B:10, W:14"
434,W,120,"FinalCount => B:10, W:14"
435,W,122,"FinalCount => B:12, W:13"
436,W,122,"FinalCount => B:12, W:13"
437,B,94,"FinalCount => B:14, W:10"
438,B,94,"FinalCount => B:14, W:10"
439,W,111,"FinalCount => B:12, W:13"
440,B,111,"FinalCount => B:14, W:11"
441,B,94,"FinalCount => B:14, W:10"
442,B,94,"FinalCount => B:14, W:10"
443,B,94,"FinalCount => B:14, W:10"
444,W,110,"FinalCount => B:12, W:12"
445,B,102,"FinalCount => B:12, W:11"
446,B,100,"FinalCount => B:14, W:9"
447,B,126,"FinalCount => B:13, W:12"
448,B,111,"FinalCount => B:14, W:11"
449,B,94,"FinalCount => B:14, W:10"
450,B,102,"FinalCount => B:12, W:11"
