Game,Winner,Moves,FinalScore
364,W,55,"FinalCount => B:12, W:13"
365,B,89,"FinalCount => B:15, W:10"
366,W,55,"FinalCount => B:12, W:13"
367,B,96,"FinalCount => B:13, W:12"
368,W,55,"FinalCount => B:12, W:13"
369,B,89,"FinalCount => B:15, W:10"
370,W,80,"FinalCount => B:11, W:14"
371,W,55,"FinalCount => B:12, W:13"
372,W,55,"FinalCount => B:12, W:13"
373,W,80,"FinalCount => B:11, W:14"
374,B,59,"FinalCount => B:13, W:12"
375,W,76,"FinalCount => B:12, W:13"
376,W,80,"FinalCount => B:12, W:13"
377,B,89,"FinalCount => B:15, W:10"
378,B,89,"FinalCount => B:15, W:10"
379,W,76,"FinalCount => B:12, W:13"
380,B,96,"FinalCount => B:13, W:12"
381,B,113,"FinalCount => B:17, W:8"
382,B,89,"FinalCount => B:15, W:10"
383,W,84,"FinalCount => B:11, W:14"
384,B,84,"FinalCount => B:13, W:12"
385,W,80,"FinalCount => B:12, W:13"
386,B,84,"FinalCount => B:13, W:12"
387,B,83,"FinalCount => B:15, W:10"
388,B,84,"FinalCount => B:13, W:12"
389,B,57,"FinalCount => B:13, W:12"
390,B,57,"FinalCount => B:13, W:12"
391,W,55,"FinalCount => B:12, W:13"
392,W,80,"FinalCount => B:11, W:14"
393,B,80,"FinalCount => B:14, W:11"
394,W,55,"FinalCount => B:12, W:13"
395,B,84,"FinalCount => B:13, W:12"
396,B,80,"FinalCount => B:14, W:11"
397,B,84,"FinalCount => B:13, W:12"
398,B,84,"FinalCount => B:13, W:12"
399,W,84,"FinalCount => B:11, W:14"
400,B,83,"FinalCount => B:13, W:12"
401,B,57,"FinalCount => B:13, W:12"
402,B,89,"FinalCount => B:15, W:10"
403,B,96,"FinalCount => B:13, W:12"
404,B,57,"FinalCount => B:13, W:12"
405,W,84,"FinalCount => B:11, W:14"
406,B,84,"FinalCount => B:13, W:12"
407,B,83,"FinalCount => B:13, W:12"
408,W,55,"FinalCount => B:12, W:13"
409,B,80,"FinalCount => B:14, W:11"
410,B,113,"FinalCount => B:17, W:8"
411,B,89,"FinalCount => B:15, W:10"
412,B,83,"FinalCount => B:15, W:10"
413,B,96,"FinalCount => B:13, W:12"
414,W,76,"FinalCount => B:12, W:13"
415,W,76,"FinalCount => B:12, W:13"
416,B,84,"FinalCount => B:13, W:12"
417,W,80,"FinalCount => B:11, W:14"
418,B,89,"FinalCount => B:15, W:10"
419,B,59,"FinalCount => B:13, W:12"
420,B,84,"FinalCount => B:13, W:12"
421,W,80,"FinalCount => B:11, W:14"
422,W,55,"FinalCount => B:12, W:13"
423,W,55,"FinalCount => B:12, W:13"
424,B,57,"FinalCount => B:13, W:12"
425,B,89,"FinalCount => B:15, W:10"
426,B,84,"FinalCount => B:13, W:12"
427,B,57,"FinalCount => B:13, W:12"
428,W,84,"FinalCount => B:11, W:14"
429,W,55,"FinalCount => B:12, W:13"
430,W,84,"FinalCount => B:11, W:14"
431,W,84,"FinalCount => B:11, W:14"
432,B,83,"FinalCount => B:15, W:10"
433,B,57,"FinalCount => B:13, W:12"
434,B,80,"FinalCount => B:14, W:11"
435,B,84,"FinalCount => B:13, W:12"
436,B,57,"FinalCount => B:13, W:12"
437,B,84,"FinalCount => B:13, W:12"
438,W,55,"FinalCount => B:12, W:13"
439,B,84,"FinalCount => B:13, W:12"
440,B,57,"FinalCount => B:13, W:12"
441,B,80,"FinalCount => B:14, W:11"
442,W,55,"FinalCount => B:12, W:13"
443,B,83,"FinalCount => B:13, W:12"
444,W,80,"FinalCount => B:11, W:14"
445,W,84,"FinalCount => B:11, W:14"
446,W,55,"FinalCount => B:12, W:13"
447,W,84,"FinalCount => B:11, W:14"
448,W,80,"FinalCount => B:12, W:13"
449,W,76,"FinalCount => B:12, W:13"
450,W,80,"FinalCount => B:12, W:13"
451,B,84,"FinalCount => B:13, W:12"
452,B,84,"FinalCount => B:13, W:12"
453,B,80,"FinalCount => B:14, W:11"
454,W,55,"FinalCount => B:12, W:13"
