config_id,wins,six_bonus,low_capture_opportunity_bonus,center_bonus_weight,exposure_penalty_weight,opponent_response_penalty_weight
Config_119,0,20,0,1.5,0.4,1.0
Config_120,0,20,0,2.0,0.2,0.5
Config_121,0,20,0,2.0,0.2,0.8
Config_122,0,20,0,2.0,0.2,1.0
Config_123,0,20,0,2.0,0.4,0.5
Config_124,0,20,0,2.0,0.4,0.8
Config_125,0,20,0,2.0,0.4,1.0
Config_126,0,20,2,1.0,0.2,0.5
Config_127,0,20,2,1.0,0.2,0.8
Config_128,0,20,2,1.0,0.2,1.0
Config_129,0,20,2,1.0,0.4,0.5
Config_130,0,20,2,1.0,0.4,0.8
Config_131,0,20,2,1.0,0.4,1.0
Config_132,0,20,2,1.5,0.2,0.5
Config_133,0,20,2,1.5,0.2,0.8
Config_134,0,20,2,1.5,0.2,1.0
Config_135,0,20,2,1.5,0.4,0.5
Config_136,0,20,2,1.5,0.4,0.8
Config_137,0,20,2,1.5,0.4,1.0
Config_138,0,20,2,2.0,0.2,0.5
Config_139,0,20,2,2.0,0.2,0.8
Config_140,0,20,2,2.0,0.2,1.0
Config_141,0,20,2,2.0,0.4,0.5
Config_142,0,20,2,2.0,0.4,0.8
Config_143,0,20,2,2.0,0.4,1.0
Config_144,0,20,4,1.0,0.2,0.5
Config_145,0,20,4,1.0,0.2,0.8
Config_146,0,20,4,1.0,0.2,1.0
Config_147,0,20,4,1.0,0.4,0.5
Config_148,0,20,4,1.0,0.4,0.8
Config_149,0,20,4,1.0,0.4,1.0
Config_150,0,20,4,1.5,0.2,0.5
Config_151,0,20,4,1.5,0.2,0.8
Config_152,0,20,4,1.5,0.2,1.0
Config_153,0,20,4,1.5,0.4,0.5
Config_154,0,20,4,1.5,0.4,0.8
Config_155,0,20,4,1.5,0.4,1.0
Config_156,0,20,4,2.0,0.2,0.5
Config_157,0,20,4,2.0,0.2,0.8
Config_158,0,20,4,2.0,0.2,1.0
Config_159,0,20,4,2.0,0.4,0.5
Config_160,0,20,4,2.0,0.4,0.8
Config_161,0,20,4,2.0,0.4,1.0
Config_162,0,25,0,1.0,0.2,0.5
Config_163,0,25,0,1.0,0.2,0.8
Config_164,0,25,0,1.0,0.2,1.0
Config_165,0,25,0,1.0,0.4,0.5
Config_166,0,25,0,1.0,0.4,0.8
Config_167,0,25,0,1.0,0.4,1.0
Config_168,0,25,0,1.5,0.2,0.5
Config_169,0,25,0,1.5,0.2,0.8
Config_170,0,25,0,1.5,0.2,1.0
Config_171,0,25,0,1.5,0.4,0.5
Config_172,0,25,0,1.5,0.4,0.8
Config_173,0,25,0,1.5,0.4,1.0
Config_174,0,25,0,2.0,0.2,0.5
Config_175,0,25,0,2.0,0.2,0.8
Config_176,0,25,0,2.0,0.2,1.0
Config_177,0,25,0,2.0,0.4,0.5
Config_178,0,25,0,2.0,0.4,0.8
Config_179,0,25,0,2.0,0.4,1.0
Config_180,0,25,2,1.0,0.2,0.5
Config_181,0,25,2,1.0,0.2,0.8
Config_182,0,25,2,1.0,0.2,1.0
Config_183,0,25,2,1.0,0.4,0.5
Config_184,0,25,2,1.0,0.4,0.8
Config_185,0,25,2,1.0,0.4,1.0
Config_186,0,25,2,1.5,0.2,0.5
Config_187,0,25,2,1.5,0.2,0.8
Config_188,0,25,2,1.5,0.2,1.0
Config_189,0,25,2,1.5,0.4,0.5
Config_190,0,25,2,1.5,0.4,0.8
Config_191,0,25,2,1.5,0.4,1.0
Config_192,0,25,2,2.0,0.2,0.5
Config_193,0,25,2,2.0,0.2,0.8
Config_194,0,25,2,2.0,0.2,1.0
Config_195,0,25,2,2.0,0.4,0.5
Config_196,0,25,2,2.0,0.4,0.8
Config_197,0,25,2,2.0,0.4,1.0
Config_198,0,25,4,1.0,0.2,0.5
Config_199,0,25,4,1.0,0.2,0.8
Config_200,0,25,4,1.0,0.2,1.0
Config_201,0,25,4,1.0,0.4,0.5
Config_202,0,25,4,1.0,0.4,0.8
Config_203,0,25,4,1.0,0.4,1.0
Config_204,0,25,4,1.5,0.2,0.5
Config_205,0,25,4,1.5,0.2,0.8
Config_206,0,25,4,1.5,0.2,1.0
Config_207,0,25,4,1.5,0.4,0.5
Config_208,0,25,4,1.5,0.4,0.8
Config_209,0,25,4,1.5,0.4,1.0
Config_210,0,25,4,2.0,0.2,0.5
Config_211,0,25,4,2.0,0.2,0.8
Config_212,0,25,4,2.0,0.2,1.0
Config_213,0,25,4,2.0,0.4,0.5
Config_214,0,25,4,2.0,0.4,0.8
Config_215,0,25,4,2.0,0.4,1.0
Config_216,0,30,0,1.0,0.2,0.5
Config_217,0,30,0,1.0,0.2,0.8
Config_218,0,30,0,1.0,0.2,1.0
Config_219,0,30,0,1.0,0.4,0.5
Config_220,0,30,0,1.0,0.4,0.8
Config_221,0,30,0,1.0,0.4,1.0
Config_222,0,30,0,1.5,0.2,0.5
Config_223,0,30,0,1.5,0.2,0.8
Config_224,0,30,0,1.5,0.2,1.0
Config_225,0,30,0,1.5,0.4,0.5
Config_226,0,30,0,1.5,0.4,0.8
Config_227,0,30,0,1.5,0.4,1.0
Config_228,0,30,0,2.0,0.2,0.5
Config_229,0,30,0,2.0,0.2,0.8
Config_230,0,30,0,2.0,0.2,1.0
Config_231,0,30,0,2.0,0.4,0.5
Config_232,0,30,0,2.0,0.4,0.8
Config_233,0,30,0,2.0,0.4,1.0
Config_234,0,30,2,1.0,0.2,0.5
Config_235,0,30,2,1.0,0.2,0.8
Config_236,0,30,2,1.0,0.2,1.0
Config_237,0,30,2,1.0,0.4,0.5
Config_238,0,30,2,1.0,0.4,0.8
Config_239,0,30,2,1.0,0.4,1.0
Config_240,0,30,2,1.5,0.2,0.5
Config_241,0,30,2,1.5,0.2,0.8
Config_242,0,30,2,1.5,0.2,1.0
Config_243,0,30,2,1.5,0.4,0.5
Config_244,0,30,2,1.5,0.4,0.8
Config_245,0,30,2,1.5,0.4,1.0
Config_246,0,30,2,2.0,0.2,0.5
Config_247,0,30,2,2.0,0.2,0.8
Config_248,0,30,2,2.0,0.2,1.0
Config_249,0,30,2,2.0,0.4,0.5
Config_250,0,30,2,2.0,0.4,0.8
Config_251,0,30,2,2.0,0.4,1.0
Config_252,0,30,4,1.0,0.2,0.5
Config_253,0,30,4,1.0,0.2,0.8
Config_254,0,30,4,1.0,0.2,1.0
